Dia,Hora,Cansat,Paquet,Termistor,Voltatge,Resistencia,Temperatura (termistor),Temperatura (BMP280),Pressió,Altura
2024-04-29,09:41:53,Alicia Sintes,0,479,2.34,8805.15,27.89,22.01,104622.88,-19.69
2024-04-29,09:41:54,Alicia Sintes,1,479,2.34,8805.15,27.89,22.01,104622.71,-19.69
2024-04-29,09:41:55,Alicia Sintes,2,479,2.34,8805.15,27.89,22.02,104623.11,-19.69
2024-04-29,09:41:56,Alicia Sintes,3,479,2.34,8805.15,27.89,22.02,104622.94,-19.69
2024-04-29,09:41:57,Alicia Sintes,4,479,2.34,8805.15,27.89,22.02,104622.94,-19.69
2024-04-29,09:41:58,Alicia Sintes,5,478,2.34,8770.64,27.98,22.02,104622.94,-19.69
2024-04-29,09:41:59,Alicia Sintes,6,479,2.34,8805.15,27.89,22.02,104622.61,-19.69
2024-04-29,09:42:00,Alicia Sintes,7,478,2.34,8770.64,27.98,22.02,104622.61,-19.69
2024-04-29,09:42:01,Alicia Sintes,8,479,2.34,8805.15,27.89,22.02,104622.78,-19.69
2024-04-29,09:42:02,Alicia Sintes,9,478,2.34,8770.64,27.98,22.02,104622.61,-19.69
2024-04-29,09:42:03,Alicia Sintes,10,479,2.34,8805.15,27.89,22.02,104622.44,-19.69
2024-04-29,09:42:04,Alicia Sintes,11,478,2.34,8770.64,27.98,22.02,104622.61,-19.69
2024-04-29,09:42:05,Alicia Sintes,12,479,2.34,8805.15,27.89,22.02,104622.44,-19.69
2024-04-29,09:42:06,Alicia Sintes,13,478,2.34,8770.64,27.98,22.02,104622.44,-19.69
2024-04-29,09:42:08,Alicia Sintes,14,479,2.34,8805.15,27.89,22.02,104622.44,-19.69
2024-04-29,09:42:09,Alicia Sintes,15,479,2.34,8805.15,27.89,22.02,104622.28,-19.68
2024-04-29,09:42:10,Alicia Sintes,16,479,2.34,8805.15,27.89,22.02,104622.85,-19.69
2024-04-29,09:42:11,Alicia Sintes,17,479,2.34,8805.15,27.89,22.02,104623.02,-19.69
2024-04-29,09:42:12,Alicia Sintes,18,478,2.34,8770.64,27.98,22.02,104623.18,-19.69
2024-04-29,09:42:13,Alicia Sintes,19,478,2.34,8770.64,27.98,22.02,104623.35,-19.69
2024-04-29,09:42:14,Alicia Sintes,20,478,2.34,8770.64,27.98,22.02,104623.35,-19.69
2024-04-29,09:42:14,Alicia Sintes,21,479,2.34,8805.15,27.89,22.02,104623.45,-19.69
2024-04-29,09:42:15,Alicia Sintes,22,478,2.34,8770.64,27.98,22.02,104623.61,-19.69
2024-04-29,09:42:16,Alicia Sintes,23,478,2.34,8770.64,27.98,22.02,104623.78,-19.69
2024-04-29,09:42:17,Alicia Sintes,24,478,2.34,8770.64,27.98,22.02,104624.11,-19.7
2024-04-29,09:42:18,Alicia Sintes,25,479,2.34,8805.15,27.89,22.02,104624.11,-19.7
2024-04-29,09:42:19,Alicia Sintes,26,479,2.34,8805.15,27.89,22.02,104624.62,-19.7
2024-04-29,09:42:20,Alicia Sintes,27,479,2.34,8805.15,27.89,22.02,104625.13,-19.7
2024-04-29,09:42:21,Alicia Sintes,28,479,2.34,8805.15,27.89,22.01,104624.89,-19.7
2024-04-29,09:42:22,Alicia Sintes,29,478,2.34,8770.64,27.98,22.01,104625.06,-19.7
2024-04-29,09:42:23,Alicia Sintes,30,478,2.34,8770.64,27.98,22.01,104625.06,-19.7
2024-04-29,09:42:24,Alicia Sintes,31,479,2.34,8805.15,27.89,22.01,104625.22,-19.7
2024-04-29,09:42:25,Alicia Sintes,32,479,2.34,8805.15,27.89,22.01,104624.99,-19.7
2024-04-29,09:42:26,Alicia Sintes,33,479,2.34,8805.15,27.89,22.01,104625.16,-19.7
