Dia,Hora,Cansat,Paquet,Termistor,Voltatge,Resistencia,Temperatura (termistor),Temperatura (BMP280),Pressió,Altura
2024-04-29,09:47:36,Alicia Sintes,340,482,2.64,11224.07,22.42,22.1,104625.66,-9.03
2024-04-29,09:47:37,Alicia Sintes,341,482,2.64,11224.07,22.42,22.1,104625.49,-9.03
2024-04-29,09:47:38,Alicia Sintes,342,482,2.64,11224.07,22.42,22.1,104625.49,-9.03
2024-04-29,09:47:39,Alicia Sintes,343,482,2.64,11224.07,22.42,22.11,104625.39,-9.03
2024-04-29,09:47:40,Alicia Sintes,344,482,2.64,11224.07,22.42,22.11,104625.22,-9.03
2024-04-29,09:47:41,Alicia Sintes,345,482,2.64,11224.07,22.42,22.11,104624.89,-9.03
2024-04-29,09:47:42,Alicia Sintes,346,481,2.65,11268.19,22.34,22.11,104624.72,-9.02
2024-04-29,09:47:43,Alicia Sintes,347,482,2.64,11224.07,22.42,22.11,104624.72,-9.02
2024-04-29,09:47:44,Alicia Sintes,348,481,2.65,11268.19,22.34,22.11,104624.72,-9.02
2024-04-29,09:47:45,Alicia Sintes,349,481,2.65,11268.19,22.34,22.11,104624.55,-9.02
2024-04-29,09:47:46,Alicia Sintes,350,481,2.65,11268.19,22.34,22.11,104624.72,-9.02
2024-04-29,09:47:47,Alicia Sintes,351,481,2.65,11268.19,22.34,22.11,104624.72,-9.02
2024-04-29,09:47:48,Alicia Sintes,352,482,2.64,11224.07,22.42,22.11,104625.05,-9.03
2024-04-29,09:47:49,Alicia Sintes,353,481,2.65,11268.19,22.34,22.11,104625.39,-9.03
2024-04-29,09:47:50,Alicia Sintes,354,481,2.65,11268.19,22.34,22.11,104625.39,-9.03
2024-04-29,09:47:51,Alicia Sintes,355,482,2.64,11224.07,22.42,22.1,104624.99,-9.03
2024-04-29,09:47:52,Alicia Sintes,356,481,2.65,11268.19,22.34,22.1,104625.15,-9.03
2024-04-29,09:47:53,Alicia Sintes,357,482,2.64,11224.07,22.42,22.1,104625.49,-9.03
2024-04-29,09:47:54,Alicia Sintes,358,481,2.65,11268.19,22.34,22.1,104625.58,-9.03
2024-04-29,09:47:55,Alicia Sintes,359,481,2.65,11268.19,22.34,22.1,104625.75,-9.03
2024-04-29,09:47:56,Alicia Sintes,360,482,2.64,11224.07,22.42,22.1,104625.68,-9.03
2024-04-29,09:47:57,Alicia Sintes,361,481,2.65,11268.19,22.34,22.1,104625.68,-9.03
2024-04-29,09:47:58,Alicia Sintes,362,481,2.65,11268.19,22.34,22.1,104625.85,-9.03
2024-04-29,09:48:00,Alicia Sintes,363,481,2.65,11268.19,22.34,22.1,104625.95,-9.03
2024-04-29,09:48:01,Alicia Sintes,364,481,2.65,11268.19,22.34,22.1,104626.28,-9.03
2024-04-29,09:48:02,Alicia Sintes,365,481,2.65,11268.19,22.34,22.09,104626.38,-9.03
2024-04-29,09:48:03,Alicia Sintes,366,481,2.65,11268.19,22.34,22.09,104626.55,-9.03
2024-04-29,09:48:04,Alicia Sintes,367,481,2.65,11268.19,22.34,22.09,104626.65,-9.04
2024-04-29,09:48:05,Alicia Sintes,368,481,2.65,11268.19,22.34,22.09,104626.82,-9.04
2024-04-29,09:48:06,Alicia Sintes,369,481,2.65,11268.19,22.34,22.09,104626.65,-9.04
