Dia,Hora,Cansat,Paquet,Termistor,Voltatge,Resistencia,Temperatura (termistor),Temperatura (BMP280),Pressió,Altura
2024-04-29,09:57:42,Alicia Sintes,0,484,2.63,11136.36,22.6,22.9,101218.78,11.32
2024-04-29,09:57:42,Alicia Sintes,1,484,2.63,11136.36,22.6,22.9,101218.78,11.32
2024-04-29,09:57:44,Alicia Sintes,2,484,2.63,11136.36,22.6,22.9,101219.13,11.32
2024-04-29,09:57:45,Alicia Sintes,3,484,2.63,11136.36,22.6,22.9,101219.13,11.32
2024-04-29,09:57:46,Alicia Sintes,4,484,2.63,11136.36,22.6,22.9,101219.13,11.32
2024-04-29,09:57:47,Alicia Sintes,5,484,2.63,11136.36,22.6,22.9,101219.3,11.32
2024-04-29,09:57:48,Alicia Sintes,6,484,2.63,11136.36,22.6,22.9,101219.3,11.32
2024-04-29,09:57:49,Alicia Sintes,7,484,2.63,11136.36,22.6,22.9,101219.47,11.32
2024-04-29,09:57:50,Alicia Sintes,8,484,2.63,11136.36,22.6,22.9,101219.47,11.32
2024-04-29,09:57:51,Alicia Sintes,9,484,2.63,11136.36,22.6,22.9,101219.52,11.32
2024-04-29,09:57:52,Alicia Sintes,10,484,2.63,11136.36,22.6,22.9,101219.52,11.32
2024-04-29,09:57:53,Alicia Sintes,11,484,2.63,11136.36,22.6,22.9,101219.69,11.31
2024-04-29,09:57:54,Alicia Sintes,12,484,2.63,11136.36,22.6,22.9,101219.52,11.32
2024-04-29,09:57:55,Alicia Sintes,13,484,2.63,11136.36,22.6,22.9,101219.52,11.32
2024-04-29,09:57:56,Alicia Sintes,14,484,2.63,11136.36,22.6,22.9,101219.35,11.32
2024-04-29,09:57:57,Alicia Sintes,15,484,2.63,11136.36,22.6,22.9,101219.74,11.31
2024-04-29,09:57:58,Alicia Sintes,16,484,2.63,11136.36,22.6,22.9,101219.91,11.31
2024-04-29,09:57:59,Alicia Sintes,17,484,2.63,11136.36,22.6,22.9,101219.74,11.31
2024-04-29,09:58:00,Alicia Sintes,18,484,2.63,11136.36,22.6,22.9,101219.57,11.32
2024-04-29,09:58:01,Alicia Sintes,19,483,2.64,11180.12,22.51,22.91,101219.82,11.31
2024-04-29,09:58:02,Alicia Sintes,20,483,2.64,11180.12,22.51,22.91,101219.64,11.31
2024-04-29,09:58:03,Alicia Sintes,21,483,2.64,11180.12,22.51,22.91,101219.64,11.31
2024-04-29,09:58:04,Alicia Sintes,22,484,2.63,11136.36,22.6,22.91,101219.47,11.32
2024-04-29,09:58:05,Alicia Sintes,23,483,2.64,11180.12,22.51,22.91,101219.64,11.31
2024-04-29,09:58:06,Alicia Sintes,24,483,2.64,11180.12,22.51,22.91,101219.64,11.31
2024-04-29,09:58:07,Alicia Sintes,25,484,2.63,11136.36,22.6,22.91,101220.03,11.31
2024-04-29,09:58:08,Alicia Sintes,26,484,2.63,11136.36,22.6,22.91,101220.03,11.31
2024-04-29,09:58:09,Alicia Sintes,27,484,2.63,11136.36,22.6,22.91,101219.86,11.31
2024-04-29,09:58:10,Alicia Sintes,28,484,2.63,11136.36,22.6,22.91,101220.21,11.31
2024-04-29,09:58:11,Alicia Sintes,29,484,2.63,11136.36,22.6,22.91,101219.86,11.31
2024-04-29,09:58:12,Alicia Sintes,30,484,2.63,11136.36,22.6,22.91,101220.25,11.31
2024-04-29,09:58:13,Alicia Sintes,31,484,2.63,11136.36,22.6,22.91,101220.25,11.31
2024-04-29,09:58:14,Alicia Sintes,32,484,2.63,11136.36,22.6,22.91,101220.25,11.31
2024-04-29,09:58:15,Alicia Sintes,33,484,2.63,11136.36,22.6,22.91,101220.08,11.31
