Dia,Hora,Cansat,Paquet,Termistor,Voltatge,Resistencia,Temperatura (termistor),Temperatura (BMP280),Pressió,Altura
2024-04-29,09:40:20,Alicia Sintes,40,478,2.34,8770.64,27.98,21.99,104620.48,-19.67
2024-04-29,09:40:21,Alicia Sintes,41,478,2.34,8770.64,27.98,22.0,104620.52,-19.67
2024-04-29,09:40:22,Alicia Sintes,42,478,2.34,8770.64,27.98,22.0,104620.35,-19.67
2024-04-29,09:40:23,Alicia Sintes,43,478,2.34,8770.64,27.98,22.0,104620.35,-19.67
2024-04-29,09:40:24,Alicia Sintes,44,478,2.34,8770.64,27.98,22.0,104620.17,-19.67
