Dia,Hora,Cansat,Paquet,Termistor,Voltatge,Resistencia,Temperatura (termistor),Temperatura (BMP280),Pressió,Altura
2024-04-29,09:39:39,Alicia Sintes,0,480,2.35,8839.78,27.8,21.98,104618.38,-19.66
2024-04-29,09:39:40,Alicia Sintes,1,479,2.34,8805.15,27.89,21.98,104618.78,-19.66
2024-04-29,09:39:41,Alicia Sintes,2,479,2.34,8805.15,27.89,21.98,104618.46,-19.66
2024-04-29,09:39:42,Alicia Sintes,3,479,2.34,8805.15,27.89,21.98,104618.46,-19.66
2024-04-29,09:39:43,Alicia Sintes,4,479,2.34,8805.15,27.89,21.98,104618.28,-19.66
2024-04-29,09:39:44,Alicia Sintes,5,479,2.34,8805.15,27.89,21.98,104618.28,-19.66
2024-04-29,09:39:45,Alicia Sintes,6,479,2.34,8805.15,27.89,21.98,104618.86,-19.66
2024-04-29,09:39:46,Alicia Sintes,7,479,2.34,8805.15,27.89,21.98,104618.69,-19.66
2024-04-29,09:39:47,Alicia Sintes,8,479,2.34,8805.15,27.89,21.98,104618.52,-19.66
2024-04-29,09:39:48,Alicia Sintes,9,479,2.34,8805.15,27.89,21.99,104619.1,-19.67
2024-04-29,09:39:49,Alicia Sintes,10,479,2.34,8805.15,27.89,21.99,104619.1,-19.67
2024-04-29,09:39:50,Alicia Sintes,11,479,2.34,8805.15,27.89,21.99,104619.1,-19.67
2024-04-29,09:39:51,Alicia Sintes,12,479,2.34,8805.15,27.89,21.99,104619.67,-19.67
2024-04-29,09:39:52,Alicia Sintes,13,479,2.34,8805.15,27.89,21.99,104620.0,-19.67
2024-04-29,09:39:53,Alicia Sintes,14,479,2.34,8805.15,27.89,21.99,104620.17,-19.67
2024-04-29,09:39:54,Alicia Sintes,15,479,2.34,8805.15,27.89,21.99,104620.17,-19.67
2024-04-29,09:39:55,Alicia Sintes,16,479,2.34,8805.15,27.89,21.99,104620.57,-19.67
2024-04-29,09:39:56,Alicia Sintes,17,479,2.34,8805.15,27.89,21.99,104620.75,-19.68
2024-04-29,09:39:57,Alicia Sintes,18,479,2.34,8805.15,27.89,21.99,104620.82,-19.68
2024-04-29,09:39:58,Alicia Sintes,19,479,2.34,8805.15,27.89,21.99,104620.82,-19.68
