Dia,Hora,Cansat,Paquet,Termistor,Voltatge,Resistencia,Temperatura (termistor),Temperatura (BMP280),Pressió,Altura
2024-04-29,20:54:42,Alicia Sintes,0,461,2.75,12190.89,21.08,23.52,101106.21,12.0
2024-04-29,20:54:43,Alicia Sintes,1,460,2.75,12239.13,20.99,23.52,101106.43,12.0
2024-04-29,20:54:44,Alicia Sintes,2,461,2.75,12190.89,21.08,23.53,101106.31,12.0
2024-04-29,20:54:45,Alicia Sintes,3,461,2.75,12190.89,21.08,23.53,101106.54,12.0
2024-04-29,20:54:46,Alicia Sintes,4,461,2.75,12190.89,21.08,23.53,101106.37,12.0
2024-04-29,20:54:47,Alicia Sintes,5,460,2.75,12239.13,20.99,23.53,101106.28,12.0
2024-04-29,20:54:48,Alicia Sintes,6,461,2.75,12190.89,21.08,23.54,101106.49,12.0
2024-04-29,20:54:49,Alicia Sintes,7,461,2.75,12190.89,21.08,23.54,101106.36,12.0
2024-04-29,20:54:50,Alicia Sintes,8,461,2.75,12190.89,21.08,23.54,101106.42,12.0
2024-04-29,20:54:51,Alicia Sintes,9,461,2.75,12190.89,21.08,23.54,101106.64,12.0
2024-04-29,20:54:52,Alicia Sintes,10,488,2.61,10963.11,23.31,23.54,101106.29,12.0
2024-04-29,20:54:53,Alicia Sintes,11,477,2.67,11446.54,22.4,23.55,101106.34,12.0
2024-04-29,20:54:54,Alicia Sintes,12,505,2.53,10257.43,24.71,23.55,101106.39,12.0
2024-04-29,20:54:55,Alicia Sintes,13,456,2.77,12434.21,20.66,23.55,101106.64,12.0
2024-04-29,20:54:56,Alicia Sintes,14,487,2.62,11006.16,23.23,23.55,101105.96,12.01
2024-04-29,20:54:57,Alicia Sintes,15,466,2.72,11952.79,21.49,23.55,101105.83,12.01
2024-04-29,20:54:58,Alicia Sintes,16,477,2.67,11446.54,22.4,23.56,101106.43,12.0
2024-04-29,20:54:59,Alicia Sintes,17,468,2.71,11858.97,21.66,23.56,101106.65,12.0
2024-04-29,20:55:00,Alicia Sintes,18,463,2.74,12095.03,21.24,23.56,101106.31,12.0
2024-04-29,20:55:01,Alicia Sintes,19,466,2.72,11952.79,21.49,23.56,101106.02,12.01
2024-04-29,20:55:02,Alicia Sintes,20,466,2.72,11952.79,21.49,23.57,101105.89,12.01
2024-04-29,20:55:03,Alicia Sintes,21,465,2.73,12000.0,21.41,23.57,101106.16,12.0
2024-04-29,20:55:04,Alicia Sintes,22,465,2.73,12000.0,21.41,23.57,101106.37,12.0
2024-04-29,20:55:05,Alicia Sintes,23,464,2.73,12047.41,21.32,23.58,101106.08,12.0
2024-04-29,20:55:06,Alicia Sintes,24,464,2.73,12047.41,21.32,23.58,101105.78,12.01
2024-04-29,20:55:07,Alicia Sintes,25,463,2.74,12095.03,21.24,23.58,101106.05,12.0
2024-04-29,20:55:08,Alicia Sintes,26,464,2.73,12047.41,21.32,23.59,101105.92,12.01
2024-04-29,20:55:09,Alicia Sintes,27,463,2.74,12095.03,21.24,23.59,101106.0,12.01
2024-04-29,20:55:10,Alicia Sintes,28,463,2.74,12095.03,21.24,23.59,101106.05,12.0
2024-04-29,20:55:11,Alicia Sintes,29,463,2.74,12095.03,21.24,23.6,101106.1,12.0
2024-04-29,20:55:12,Alicia Sintes,30,463,2.74,12095.03,21.24,23.6,101106.14,12.0
