Dia,Hora,Cansat,Paquet,Termistor,Voltatge,Resistencia,Temperatura (termistor),Temperatura (BMP280),Pressió,Altura
2024-04-29,09:40:00,Alicia Sintes,21,478,2.34,8770.64,27.98,21.99,104620.82,-19.68
2024-04-29,09:40:01,Alicia Sintes,22,478,2.34,8770.64,27.98,21.99,104620.64,-19.68
2024-04-29,09:40:02,Alicia Sintes,23,478,2.34,8770.64,27.98,21.99,104620.64,-19.68
2024-04-29,09:40:03,Alicia Sintes,24,478,2.34,8770.64,27.98,21.99,104620.64,-19.68
2024-04-29,09:40:04,Alicia Sintes,25,478,2.34,8770.64,27.98,21.99,104620.82,-19.68
2024-04-29,09:40:05,Alicia Sintes,26,478,2.34,8770.64,27.98,21.99,104620.82,-19.68
2024-04-29,09:40:06,Alicia Sintes,27,479,2.34,8805.15,27.89,21.99,104620.82,-19.68
2024-04-29,09:40:07,Alicia Sintes,28,479,2.34,8805.15,27.89,21.99,104621.14,-19.68
2024-04-29,09:40:08,Alicia Sintes,29,479,2.34,8805.15,27.89,21.99,104620.98,-19.68
2024-04-29,09:40:09,Alicia Sintes,30,479,2.34,8805.15,27.89,21.99,104620.98,-19.68
2024-04-29,09:40:10,Alicia Sintes,31,479,2.34,8805.15,27.89,21.99,104620.82,-19.68
2024-04-29,09:40:11,Alicia Sintes,32,479,2.34,8805.15,27.89,21.99,104620.82,-19.68
2024-04-29,09:40:12,Alicia Sintes,33,479,2.34,8805.15,27.89,21.99,104620.82,-19.68
2024-04-29,09:40:13,Alicia Sintes,34,478,2.34,8770.64,27.98,21.99,104620.98,-19.68
2024-04-29,09:40:14,Alicia Sintes,35,478,2.34,8770.64,27.98,21.99,104620.82,-19.68
2024-04-29,09:40:15,Alicia Sintes,36,478,2.34,8770.64,27.98,21.99,104620.82,-19.68
2024-04-29,09:40:17,Alicia Sintes,37,478,2.34,8770.64,27.98,21.99,104620.82,-19.68
2024-04-29,09:40:18,Alicia Sintes,38,478,2.34,8770.64,27.98,21.99,104620.82,-19.68
