Dia,Hora,Cansat,Paquet,Termistor,Voltatge,Resistencia,Temperatura (termistor),Temperatura (BMP280),Pressió,Altura
2024-04-29,09:48:40,Alicia Sintes,0,483,2.64,11180.12,22.51,22.44,101205.75,11.4
2024-04-29,09:48:41,Alicia Sintes,1,483,2.64,11180.12,22.51,22.44,101206.14,11.4
2024-04-29,09:48:42,Alicia Sintes,2,483,2.64,11180.12,22.51,22.45,101206.53,11.39
2024-04-29,09:48:43,Alicia Sintes,3,483,2.64,11180.12,22.51,22.45,101206.6,11.39
2024-04-29,09:48:44,Alicia Sintes,4,483,2.64,11180.12,22.51,22.45,101207.21,11.39
2024-04-29,09:48:45,Alicia Sintes,5,483,2.64,11180.12,22.51,22.46,101207.6,11.39
2024-04-29,09:48:46,Alicia Sintes,6,483,2.64,11180.12,22.51,22.46,101208.21,11.38
2024-04-29,09:48:47,Alicia Sintes,7,483,2.64,11180.12,22.51,22.46,101208.09,11.38
2024-04-29,09:48:48,Alicia Sintes,8,483,2.64,11180.12,22.51,22.47,101208.69,11.38
2024-04-29,09:48:50,Alicia Sintes,9,483,2.64,11180.12,22.51,22.47,101208.41,11.38
2024-04-29,09:48:51,Alicia Sintes,10,483,2.64,11180.12,22.51,22.48,101208.67,11.38
2024-04-29,09:48:52,Alicia Sintes,11,483,2.64,11180.12,22.51,22.48,101209.5,11.38
2024-04-29,09:48:53,Alicia Sintes,12,483,2.64,11180.12,22.51,22.49,101209.57,11.38
2024-04-29,09:48:54,Alicia Sintes,13,483,2.64,11180.12,22.51,22.49,101210.0,11.37
2024-04-29,09:48:55,Alicia Sintes,14,483,2.64,11180.12,22.51,22.5,101210.1,11.37
2024-04-29,09:48:56,Alicia Sintes,15,483,2.64,11180.12,22.51,22.5,101210.32,11.37
2024-04-29,09:48:57,Alicia Sintes,16,483,2.64,11180.12,22.51,22.51,101210.73,11.37
2024-04-29,09:48:58,Alicia Sintes,17,483,2.64,11180.12,22.51,22.51,101211.03,11.37
2024-04-29,09:48:59,Alicia Sintes,18,483,2.64,11180.12,22.51,22.51,101211.08,11.37
2024-04-29,09:49:00,Alicia Sintes,19,483,2.64,11180.12,22.51,22.52,101211.0,11.37
2024-04-29,09:49:01,Alicia Sintes,20,483,2.64,11180.12,22.51,22.52,101211.1,11.37
2024-04-29,09:49:02,Alicia Sintes,21,483,2.64,11180.12,22.51,22.53,101211.17,11.37
2024-04-29,09:49:03,Alicia Sintes,22,483,2.64,11180.12,22.51,22.53,101211.44,11.36
2024-04-29,09:49:04,Alicia Sintes,23,483,2.64,11180.12,22.51,22.54,101211.37,11.36
2024-04-29,09:49:05,Alicia Sintes,24,483,2.64,11180.12,22.51,22.54,101211.77,11.36
2024-04-29,09:49:06,Alicia Sintes,25,483,2.64,11180.12,22.51,22.54,101211.82,11.36
2024-04-29,09:49:07,Alicia Sintes,26,483,2.64,11180.12,22.51,22.55,101211.74,11.36
2024-04-29,09:49:08,Alicia Sintes,27,483,2.64,11180.12,22.51,22.55,101211.83,11.36
2024-04-29,09:49:09,Alicia Sintes,28,483,2.64,11180.12,22.51,22.55,101212.22,11.36
2024-04-29,09:49:10,Alicia Sintes,29,483,2.64,11180.12,22.51,22.56,101211.75,11.36
2024-04-29,09:49:11,Alicia Sintes,30,483,2.64,11180.12,22.51,22.56,101211.85,11.36
