Dia,Hora,Cansat,Paquet,Termistor,Voltatge,Resistencia,Temperatura (termistor),Temperatura (BMP280),Pressió,Altura
2024-04-29,09:14:27,Alicia Sintes,0,465,2.27,8333.33,29.09,21.31,104626.14,-19.71
2024-04-29,09:14:28,Alicia Sintes,1,465,2.27,8333.33,29.09,21.31,104626.48,-19.71
2024-04-29,09:14:29,Alicia Sintes,2,465,2.27,8333.33,29.09,21.31,104626.65,-19.71
2024-04-29,09:14:30,Alicia Sintes,3,465,2.27,8333.33,29.09,21.31,104626.82,-19.71
2024-04-29,09:14:31,Alicia Sintes,4,465,2.27,8333.33,29.09,21.31,104626.99,-19.71
2024-04-29,09:14:32,Alicia Sintes,5,465,2.27,8333.33,29.09,21.31,104626.99,-19.71
2024-04-29,09:14:33,Alicia Sintes,6,465,2.27,8333.33,29.09,21.31,104627.16,-19.71
2024-04-29,09:14:34,Alicia Sintes,7,465,2.27,8333.33,29.09,21.31,104627.16,-19.71
2024-04-29,09:14:35,Alicia Sintes,8,465,2.27,8333.33,29.09,21.31,104627.72,-19.72
2024-04-29,09:14:36,Alicia Sintes,9,465,2.27,8333.33,29.09,21.31,104627.16,-19.71
2024-04-29,09:14:37,Alicia Sintes,10,466,2.28,8366.25,29.0,21.31,104627.72,-19.72
2024-04-29,09:14:38,Alicia Sintes,11,444,2.17,7668.39,30.84,21.31,104627.56,-19.72
2024-04-29,09:14:39,Alicia Sintes,12,462,2.26,8235.29,29.34,21.31,104627.16,-19.71
2024-04-29,09:14:40,Alicia Sintes,13,461,2.25,8202.85,29.42,21.31,104627.32,-19.71
2024-04-29,09:14:41,Alicia Sintes,14,463,2.26,8267.86,29.25,21.31,104627.49,-19.72
2024-04-29,09:14:42,Alicia Sintes,15,465,2.27,8333.33,29.09,21.31,104627.32,-19.71
2024-04-29,09:14:43,Alicia Sintes,16,465,2.27,8333.33,29.09,21.31,104627.32,-19.71
2024-04-29,09:14:44,Alicia Sintes,17,452,2.21,7915.94,30.17,21.31,104627.49,-19.72
2024-04-29,09:14:45,Alicia Sintes,18,464,2.27,8300.54,29.17,21.31,104627.32,-19.71
2024-04-29,09:14:46,Alicia Sintes,19,458,2.24,8106.19,29.67,21.31,104627.16,-19.71
2024-04-29,09:14:47,Alicia Sintes,20,465,2.27,8333.33,29.09,21.31,104626.99,-19.71
2024-04-29,09:14:48,Alicia Sintes,21,439,2.15,7517.12,31.26,21.62,104631.07,-19.74
2024-04-29,09:14:49,Alicia Sintes,22,469,2.29,8465.7,28.76,21.86,104635.94,-19.77
2024-04-29,09:14:50,Alicia Sintes,23,469,2.29,8465.7,28.76,22.11,104642.49,-19.8
2024-04-29,09:14:51,Alicia Sintes,24,470,2.3,8499.1,28.67,22.46,104651.89,-19.86
2024-04-29,09:14:52,Alicia Sintes,25,470,2.3,8499.1,28.67,22.71,104660.28,-19.91
2024-04-29,09:14:53,Alicia Sintes,26,470,2.3,8499.1,28.67,23.02,104669.28,-19.96
2024-04-29,09:14:54,Alicia Sintes,27,470,2.3,8499.1,28.67,23.23,104676.82,-20.01
2024-04-29,09:14:55,Alicia Sintes,28,470,2.3,8499.1,28.67,23.39,104683.42,-20.04
2024-04-29,09:14:56,Alicia Sintes,29,470,2.3,8499.1,28.67,23.53,104689.41,-20.08
2024-04-29,09:14:57,Alicia Sintes,30,469,2.29,8465.7,28.76,23.63,104695.04,-20.11
2024-04-29,09:14:58,Alicia Sintes,31,465,2.27,8333.33,29.09,23.71,104699.82,-20.14
2024-04-29,09:14:59,Alicia Sintes,32,454,2.22,7978.91,30.0,23.77,104704.0,-20.16
2024-04-29,09:15:00,Alicia Sintes,33,458,2.24,8106.19,29.67,23.8,104708.16,-20.19
2024-04-29,09:15:01,Alicia Sintes,34,416,2.03,6853.38,33.2,23.81,104709.94,-20.2
2024-04-29,09:15:02,Alicia Sintes,35,463,2.26,8267.86,29.25,23.81,104712.97,-20.22
2024-04-29,09:15:03,Alicia Sintes,36,467,2.28,8399.28,28.92,23.79,104715.17,-20.23
2024-04-29,09:15:04,Alicia Sintes,37,442,2.16,7607.57,31.01,23.75,104717.35,-20.24
2024-04-29,09:15:05,Alicia Sintes,38,452,2.21,7915.94,30.17,23.7,104719.03,-20.25
2024-04-29,09:15:06,Alicia Sintes,39,466,2.28,8366.25,29.0,23.64,104720.68,-20.26
2024-04-29,09:15:07,Alicia Sintes,40,403,1.97,6500.0,34.32,23.58,104721.82,-20.27
2024-04-29,09:15:08,Alicia Sintes,41,469,2.29,8465.7,28.76,23.51,104723.03,-20.28
2024-04-29,09:15:09,Alicia Sintes,42,471,2.3,8532.61,28.59,23.44,104723.89,-20.28
2024-04-29,09:15:10,Alicia Sintes,43,470,2.3,8499.1,28.67,23.38,104725.17,-20.29
2024-04-29,09:15:11,Alicia Sintes,44,469,2.29,8465.7,28.76,23.32,104726.61,-20.3
2024-04-29,09:15:12,Alicia Sintes,45,471,2.3,8532.61,28.59,23.26,104727.54,-20.3
2024-04-29,09:15:13,Alicia Sintes,46,470,2.3,8499.1,28.67,23.2,104728.77,-20.31
2024-04-29,09:15:14,Alicia Sintes,47,470,2.3,8499.1,28.67,23.14,104729.91,-20.32
2024-04-29,09:15:15,Alicia Sintes,48,470,2.3,8499.1,28.67,23.09,104730.94,-20.32
2024-04-29,09:15:16,Alicia Sintes,49,469,2.29,8465.7,28.76,23.03,104731.71,-20.33
2024-04-29,09:15:17,Alicia Sintes,50,469,2.29,8465.7,28.76,22.98,104732.77,-20.33
2024-04-29,09:15:18,Alicia Sintes,51,469,2.29,8465.7,28.76,22.92,104733.36,-20.34
2024-04-29,09:15:19,Alicia Sintes,52,468,2.29,8432.43,28.84,22.87,104733.82,-20.34
2024-04-29,09:15:20,Alicia Sintes,53,468,2.29,8432.43,28.84,22.81,104734.44,-20.34
2024-04-29,09:15:21,Alicia Sintes,54,468,2.29,8432.43,28.84,22.76,104734.77,-20.35
2024-04-29,09:15:22,Alicia Sintes,55,468,2.29,8432.43,28.84,22.72,104735.32,-20.35
2024-04-29,09:15:23,Alicia Sintes,56,468,2.29,8432.43,28.84,22.68,104735.32,-20.35
2024-04-29,09:15:24,Alicia Sintes,57,468,2.29,8432.43,28.84,22.64,104735.68,-20.35
2024-04-29,09:15:25,Alicia Sintes,58,468,2.29,8432.43,28.84,22.61,104735.35,-20.35
2024-04-29,09:15:26,Alicia Sintes,59,468,2.29,8432.43,28.84,22.56,104735.48,-20.35
2024-04-29,09:15:27,Alicia Sintes,60,468,2.29,8432.43,28.84,22.52,104735.37,-20.35
2024-04-29,09:15:28,Alicia Sintes,61,468,2.29,8432.43,28.84,22.49,104735.36,-20.35
2024-04-29,09:15:29,Alicia Sintes,62,468,2.29,8432.43,28.84,22.45,104735.02,-20.35
2024-04-29,09:15:30,Alicia Sintes,63,468,2.29,8432.43,28.84,22.41,104734.48,-20.34
2024-04-29,09:15:31,Alicia Sintes,64,468,2.29,8432.43,28.84,22.37,104734.21,-20.34
2024-04-29,09:15:32,Alicia Sintes,65,468,2.29,8432.43,28.84,22.34,104734.07,-20.34
2024-04-29,09:15:33,Alicia Sintes,66,468,2.29,8432.43,28.84,22.3,104733.13,-20.34
2024-04-29,09:15:34,Alicia Sintes,67,468,2.29,8432.43,28.84,22.27,104732.38,-20.33
2024-04-29,09:15:35,Alicia Sintes,68,468,2.29,8432.43,28.84,22.24,104730.67,-20.32
2024-04-29,09:15:36,Alicia Sintes,69,468,2.29,8432.43,28.84,22.21,104728.46,-20.31
2024-04-29,09:15:37,Alicia Sintes,70,468,2.29,8432.43,28.84,22.17,104726.07,-20.29
2024-04-29,09:15:38,Alicia Sintes,71,468,2.29,8432.43,28.84,22.14,104723.99,-20.28
2024-04-29,09:15:39,Alicia Sintes,72,468,2.29,8432.43,28.84,22.12,104721.67,-20.27
2024-04-29,09:15:40,Alicia Sintes,73,468,2.29,8432.43,28.84,22.09,104719.27,-20.25
2024-04-29,09:15:41,Alicia Sintes,74,468,2.29,8432.43,28.84,22.07,104716.99,-20.24
2024-04-29,09:15:42,Alicia Sintes,75,468,2.29,8432.43,28.84,22.04,104714.69,-20.23
2024-04-29,09:15:43,Alicia Sintes,76,469,2.29,8465.7,28.76,22.02,104711.57,-20.21
2024-04-29,09:15:44,Alicia Sintes,77,469,2.29,8465.7,28.76,22.0,104708.3,-20.19
