Dia,Hora,Cansat,Paquet,Termistor,Voltatge,Resistencia,Temperatura (termistor),Temperatura (BMP280),Pressió,Altura
2024-04-29,09:16:19,Alicia Sintes,111,470,2.3,8499.1,28.71,21.73,104648.16,-19.84
2024-04-29,09:16:20,Alicia Sintes,112,470,2.3,8499.1,28.71,21.73,104647.75,-19.83
2024-04-29,09:16:21,Alicia Sintes,113,470,2.3,8499.1,28.71,21.73,104647.18,-19.83
2024-04-29,09:16:22,Alicia Sintes,114,470,2.3,8499.1,28.71,21.73,104646.61,-19.83
2024-04-29,09:16:23,Alicia Sintes,115,470,2.3,8499.1,28.71,21.73,104646.28,-19.83
2024-04-29,09:16:24,Alicia Sintes,116,470,2.3,8499.1,28.71,21.72,104646.03,-19.82
2024-04-29,09:16:25,Alicia Sintes,117,470,2.3,8499.1,28.71,21.72,104645.8,-19.82
