Dia,Hora,Cansat,Paquet,Termistor,Voltatge,Resistencia,Temperatura (termistor),Temperatura (BMP280),Pressió,Altura
2024-04-29,09:42:28,Alicia Sintes,35,479,2.66,11356.99,22.16,22.01,104625.32,-19.7
2024-04-29,09:42:29,Alicia Sintes,36,479,2.66,11356.99,22.16,22.01,104624.99,-19.7
2024-04-29,09:42:30,Alicia Sintes,37,479,2.66,11356.99,22.16,22.01,104624.39,-19.7
2024-04-29,09:42:31,Alicia Sintes,38,479,2.66,11356.99,22.16,22.01,104624.21,-19.7
2024-04-29,09:42:32,Alicia Sintes,39,479,2.66,11356.99,22.16,22.01,104624.05,-19.7
2024-04-29,09:42:33,Alicia Sintes,40,479,2.66,11356.99,22.16,22.01,104623.71,-19.69
2024-04-29,09:42:35,Alicia Sintes,41,479,2.66,11356.99,22.16,22.01,104623.71,-19.69
2024-04-29,09:42:35,Alicia Sintes,42,478,2.66,11401.67,22.08,22.01,104623.71,-19.69
2024-04-29,09:42:37,Alicia Sintes,43,478,2.66,11401.67,22.08,22.01,104623.71,-19.69
2024-04-29,09:42:38,Alicia Sintes,44,478,2.66,11401.67,22.08,22.01,104623.55,-19.69
2024-04-29,09:42:38,Alicia Sintes,45,479,2.66,11356.99,22.16,22.01,104624.14,-19.7
2024-04-29,09:42:40,Alicia Sintes,46,479,2.66,11356.99,22.16,22.01,104623.98,-19.69
2024-04-29,09:42:41,Alicia Sintes,47,479,2.66,11356.99,22.16,22.01,104624.14,-19.7
2024-04-29,09:42:42,Alicia Sintes,48,479,2.66,11356.99,22.16,22.01,104624.48,-19.7
2024-04-29,09:42:43,Alicia Sintes,49,479,2.66,11356.99,22.16,22.01,104624.48,-19.7
2024-04-29,09:42:44,Alicia Sintes,50,479,2.66,11356.99,22.16,22.01,104624.48,-19.7
2024-04-29,09:42:45,Alicia Sintes,51,479,2.66,11356.99,22.16,22.01,104624.82,-19.7
2024-04-29,09:42:46,Alicia Sintes,52,479,2.66,11356.99,22.16,22.01,104624.99,-19.7
2024-04-29,09:42:47,Alicia Sintes,53,479,2.66,11356.99,22.16,22.01,104625.16,-19.7
2024-04-29,09:42:48,Alicia Sintes,54,479,2.66,11356.99,22.16,22.01,104625.49,-19.7
2024-04-29,09:42:49,Alicia Sintes,55,479,2.66,11356.99,22.16,22.01,104625.49,-19.7
2024-04-29,09:42:50,Alicia Sintes,56,479,2.66,11356.99,22.16,22.01,104625.66,-19.7
2024-04-29,09:42:51,Alicia Sintes,57,479,2.66,11356.99,22.16,22.01,104625.49,-19.7
2024-04-29,09:42:52,Alicia Sintes,58,479,2.66,11356.99,22.16,22.01,104625.49,-19.7
2024-04-29,09:42:53,Alicia Sintes,59,479,2.66,11356.99,22.16,22.01,104625.66,-19.7
2024-04-29,09:42:54,Alicia Sintes,60,479,2.66,11356.99,22.16,22.01,104625.99,-19.71
2024-04-29,09:42:55,Alicia Sintes,61,479,2.66,11356.99,22.16,22.01,104625.99,-19.71
2024-04-29,09:42:56,Alicia Sintes,62,479,2.66,11356.99,22.16,22.01,104626.33,-19.71
2024-04-29,09:42:57,Alicia Sintes,63,479,2.66,11356.99,22.16,22.01,104626.73,-19.71
2024-04-29,09:42:58,Alicia Sintes,64,479,2.66,11356.99,22.16,22.01,104626.73,-19.71
2024-04-29,09:42:59,Alicia Sintes,65,479,2.66,11356.99,22.16,22.01,104626.73,-19.71
2024-04-29,09:43:00,Alicia Sintes,66,479,2.66,11356.99,22.16,22.01,104626.39,-19.71
2024-04-29,09:43:01,Alicia Sintes,67,479,2.66,11356.99,22.16,22.01,104626.22,-19.71
2024-04-29,09:43:02,Alicia Sintes,68,479,2.66,11356.99,22.16,22.01,104626.07,-19.71
