Dia,Hora,Cansat,Paquet,Termistor,Voltatge,Resistencia,Temperatura (termistor),Temperatura (BMP280),Pressió,Altura
2024-04-29,09:40:45,Alicia Sintes,65,478,2.34,8770.64,27.98,22.0,104621.52,-19.68
2024-04-29,09:40:46,Alicia Sintes,66,478,2.34,8770.64,27.98,22.0,104621.69,-19.68
2024-04-29,09:40:47,Alicia Sintes,67,478,2.34,8770.64,27.98,22.0,104621.69,-19.68
2024-04-29,09:40:48,Alicia Sintes,68,478,2.34,8770.64,27.98,22.0,104622.19,-19.68
2024-04-29,09:40:49,Alicia Sintes,69,478,2.34,8770.64,27.98,22.0,104622.02,-19.68
