2024-04-29,08:50:32,0/Cansat Alicia Sintes. En repos. Esperant ordres.
2024-04-29,08:50:35,2/CanSat Alicia Sintes pitant a la espera de ser localitzat.
2024-04-29,08:50:37,2/CanSat Alicia Sintes pitant a la espera de ser localitzat.
2024-04-29,08:50:39,2/CanSat Alicia Sintes pitant a la espera de ser localitzat.
2024-04-29,08:50:41,2/CanSat Alicia Sintes pitant a la espera de ser localitzat.
2024-04-29,08:50:43,2/CanSat Alicia Sintes pitant a la espera de ser localitzat.
2024-04-29,08:50:45,2/CanSat Alicia Sintes pitant a la espera de ser localitzat.
2024-04-29,08:50:47,2/CanSat Alicia Sintes pitant a la espera de ser localitzat.
2024-04-29,08:50:49,2/CanSat Alicia Sintes pitant a la espera de ser localitzat.
2024-04-29,08:50:51,2/CanSat Alicia Sintes pitant a la espera de ser localitzat.
2024-04-29,08:50:53,2/CanSat Alicia Sintes pitant a la espera de ser localitzat.
2024-04-29,08:50:55,0/Cansat Alicia Sintes. En repos. Esperant ordres.
2024-04-29,08:50:58,0/Cansat Alicia Sintes. En repos. Esperant ordres.
2024-04-29,08:51:01,4/0
2024-04-29,08:51:02,4/0
2024-04-29,08:51:03,4/0
2024-04-29,08:51:04,4/0
2024-04-29,08:51:05,4/0
2024-04-29,08:51:06,4/0
2024-04-29,08:51:07,4/0
2024-04-29,08:51:08,4/0
2024-04-29,08:51:09,4/0
2024-04-29,08:51:10,4/0
2024-04-29,08:51:11,4/0
2024-04-29,08:51:12,4/0
2024-04-29,08:51:13,4/0
2024-04-29,08:51:14,4/0
2024-04-29,08:51:15,4/0
2024-04-29,08:51:16,4/0
2024-04-29,08:51:17,4/0
2024-04-29,08:51:18,4/0
2024-04-29,08:51:19,4/0
2024-04-29,08:51:20,4/0
2024-04-29,08:51:21,4/0
2024-04-29,08:51:22,4/0
2024-04-29,08:51:23,4/0
2024-04-29,08:51:24,4/0
2024-04-29,08:51:25,4/0
2024-04-29,08:51:26,4/0
2024-04-29,08:51:27,4/0
2024-04-29,08:51:28,4/0
2024-04-29,08:51:29,4/0
2024-04-29,08:51:30,4/0
2024-04-29,08:51:31,4/0
2024-04-29,08:51:32,4/0
2024-04-29,08:51:33,4/0
2024-04-29,08:51:34,4/0
2024-04-29,08:51:35,4/0
2024-04-29,08:51:36,4/0
2024-04-29,08:51:37,4/0
2024-04-29,08:51:38,4/0
2024-04-29,08:51:39,4/0
2024-04-29,08:51:40,4/0
2024-04-29,08:51:41,4/0
2024-04-29,08:51:42,4/0
2024-04-29,08:51:43,4/0
2024-04-29,08:51:44,4/0
2024-04-29,08:51:45,4/0
2024-04-29,08:51:46,4/0
2024-04-29,08:51:47,4/0
2024-04-29,08:51:48,4/0
2024-04-29,08:51:49,4/0
